2024-04-24 13:48:24,868 INFO    StreamThr :35816 [internal.py:wandb_internal():86] W&B internal server running at pid: 35816, started at: 2024-04-24 13:48:24.866475
2024-04-24 13:48:24,869 DEBUG   HandlerThread:35816 [handler.py:handle_request():144] handle_request: status
2024-04-24 13:48:24,870 INFO    WriterThread:35816 [datastore.py:open_for_write():85] open: C:\Users\marie\Desktop\Sanfour\MFRS\models\wandb\run-20240424_134824-7zqbg2r0\run-7zqbg2r0.wandb
2024-04-24 13:48:24,873 DEBUG   SenderThread:35816 [sender.py:send():379] send: header
2024-04-24 13:48:24,903 DEBUG   SenderThread:35816 [sender.py:send():379] send: run
2024-04-24 13:48:25,307 INFO    SenderThread:35816 [dir_watcher.py:__init__():211] watching files in: C:\Users\marie\Desktop\Sanfour\MFRS\models\wandb\run-20240424_134824-7zqbg2r0\files
2024-04-24 13:48:25,307 INFO    SenderThread:35816 [sender.py:_start_run_threads():1121] run started: 7zqbg2r0 with start time 1713980904.868452
2024-04-24 13:48:25,307 DEBUG   SenderThread:35816 [sender.py:send_request():406] send_request: summary_record
2024-04-24 13:48:25,309 INFO    SenderThread:35816 [sender.py:_save_file():1375] saving file wandb-summary.json with policy end
2024-04-24 13:48:25,311 DEBUG   HandlerThread:35816 [handler.py:handle_request():144] handle_request: check_version
2024-04-24 13:48:25,311 DEBUG   SenderThread:35816 [sender.py:send_request():406] send_request: check_version
2024-04-24 13:48:25,391 DEBUG   HandlerThread:35816 [handler.py:handle_request():144] handle_request: run_start
2024-04-24 13:48:26,309 INFO    Thread-16 :35816 [dir_watcher.py:_on_file_created():271] file/dir created: C:\Users\marie\Desktop\Sanfour\MFRS\models\wandb\run-20240424_134824-7zqbg2r0\files\wandb-summary.json
2024-04-24 13:48:27,055 DEBUG   HandlerThread:35816 [system_info.py:__init__():31] System info init
2024-04-24 13:48:27,055 DEBUG   HandlerThread:35816 [system_info.py:__init__():46] System info init done
2024-04-24 13:48:27,055 INFO    HandlerThread:35816 [system_monitor.py:start():181] Starting system monitor
2024-04-24 13:48:27,055 INFO    SystemMonitor:35816 [system_monitor.py:_start():145] Starting system asset monitoring threads
2024-04-24 13:48:27,055 INFO    HandlerThread:35816 [system_monitor.py:probe():201] Collecting system info
2024-04-24 13:48:27,055 INFO    SystemMonitor:35816 [interfaces.py:start():190] Started cpu monitoring
2024-04-24 13:48:27,055 INFO    SystemMonitor:35816 [interfaces.py:start():190] Started disk monitoring
2024-04-24 13:48:27,055 INFO    SystemMonitor:35816 [interfaces.py:start():190] Started gpu monitoring
2024-04-24 13:48:27,065 INFO    SystemMonitor:35816 [interfaces.py:start():190] Started memory monitoring
2024-04-24 13:48:27,075 INFO    SystemMonitor:35816 [interfaces.py:start():190] Started network monitoring
2024-04-24 13:48:27,083 DEBUG   HandlerThread:35816 [system_info.py:probe():195] Probing system
2024-04-24 13:48:27,085 DEBUG   HandlerThread:35816 [system_info.py:_probe_git():180] Probing git
2024-04-24 13:48:27,135 DEBUG   HandlerThread:35816 [system_info.py:_probe_git():188] Probing git done
2024-04-24 13:48:27,135 DEBUG   HandlerThread:35816 [system_info.py:probe():240] Probing system done
