,name,new_id,class
0,000003.jpg,0,0.0
1,015648.jpg,0,2.0
2,033840.jpg,0,1.0
3,038887.jpg,0,2.0
4,049972.jpg,0,1.0
5,052374.jpg,0,1.0
6,053297.jpg,0,1.0
7,061069.jpg,0,2.0
8,069458.jpg,0,2.0
9,070480.jpg,0,1.0
10,073665.jpg,0,0.0
11,074691.jpg,0,2.0
12,074908.jpg,0,0.0
13,079723.jpg,0,0.0
14,084418.jpg,0,0.0
15,086208.jpg,0,0.0
16,087940.jpg,0,0.0
17,092115.jpg,0,0.0
18,101759.jpg,0,0.0
19,102191.jpg,0,0.0
20,134209.jpg,0,0.0
21,134272.jpg,0,0.0
22,134680.jpg,0,0.0
23,138523.jpg,0,0.0
24,140747.jpg,0,0.0
25,148651.jpg,0,0.0
26,153310.jpg,0,0.0
27,154306.jpg,0,0.0
28,000007.jpg,1,0.0
29,008201.jpg,1,0.0
30,013638.jpg,1,2.0
31,015336.jpg,1,2.0
32,025883.jpg,1,1.0
33,033472.jpg,1,1.0
34,043155.jpg,1,2.0
35,043521.jpg,1,2.0
36,045445.jpg,1,2.0
37,046906.jpg,1,0.0
38,048660.jpg,1,1.0
39,051555.jpg,1,0.0
40,052825.jpg,1,1.0
41,055710.jpg,1,1.0
42,075810.jpg,1,0.0
43,077311.jpg,1,0.0
44,082872.jpg,1,0.0
45,087912.jpg,1,0.0
46,096904.jpg,1,0.0
47,107670.jpg,1,0.0
48,109848.jpg,1,0.0
49,111336.jpg,1,0.0
50,133901.jpg,1,0.0
51,134269.jpg,1,0.0
52,136162.jpg,1,0.0
53,152915.jpg,1,0.0
54,156407.jpg,1,0.0
55,158927.jpg,1,0.0
56,000008.jpg,2,1.0
57,004806.jpg,2,0.0
58,019010.jpg,2,0.0
59,021177.jpg,2,2.0
60,038160.jpg,2,0.0
61,047098.jpg,2,0.0
62,055280.jpg,2,0.0
63,057503.jpg,2,1.0
64,063975.jpg,2,2.0
65,070510.jpg,2,1.0
66,074995.jpg,2,1.0
67,079796.jpg,2,2.0
68,090634.jpg,2,1.0
69,092070.jpg,2,0.0
70,107068.jpg,2,2.0
71,108513.jpg,2,0.0
72,112474.jpg,2,0.0
73,114769.jpg,2,2.0
74,120293.jpg,2,0.0
75,134062.jpg,2,0.0
76,135144.jpg,2,0.0
77,135319.jpg,2,0.0
78,136231.jpg,2,0.0
79,137531.jpg,2,0.0
80,151879.jpg,2,0.0
81,152417.jpg,2,0.0
82,153620.jpg,2,0.0
83,154615.jpg,2,0.0
84,000015.jpg,3,1.0
85,003428.jpg,3,0.0
86,011370.jpg,3,0.0
87,014228.jpg,3,1.0
88,018547.jpg,3,1.0
89,026211.jpg,3,0.0
90,027527.jpg,3,0.0
91,030656.jpg,3,1.0
92,033589.jpg,3,2.0
93,033621.jpg,3,0.0
94,041379.jpg,3,0.0
95,041588.jpg,3,1.0
96,065014.jpg,3,2.0
97,071426.jpg,3,2.0
98,072071.jpg,3,0.0
99,083477.jpg,3,0.0
100,096798.jpg,3,2.0
101,099039.jpg,3,2.0
102,101030.jpg,3,0.0
103,112163.jpg,3,0.0
104,113796.jpg,3,0.0
105,117943.jpg,3,0.0
106,118601.jpg,3,0.0
107,120447.jpg,3,0.0
108,146865.jpg,3,0.0
109,152099.jpg,3,0.0
110,154387.jpg,3,0.0
111,156980.jpg,3,0.0
112,000016.jpg,4,2.0
113,004318.jpg,4,1.0
114,010102.jpg,4,0.0
115,016774.jpg,4,1.0
116,022641.jpg,4,2.0
117,026804.jpg,4,0.0
118,034776.jpg,4,2.0
119,036102.jpg,4,0.0
120,037226.jpg,4,2.0
121,070164.jpg,4,0.0
122,076907.jpg,4,0.0
123,078225.jpg,4,2.0
124,096685.jpg,4,1.0
125,099998.jpg,4,1.0
126,100270.jpg,4,1.0
127,101391.jpg,4,0.0
128,112636.jpg,4,0.0
129,114959.jpg,4,0.0
130,118259.jpg,4,0.0
131,131431.jpg,4,0.0
132,135813.jpg,4,0.0
133,144280.jpg,4,0.0
134,145873.jpg,4,0.0
135,156311.jpg,4,0.0
136,157960.jpg,4,0.0
137,159834.jpg,4,0.0
138,160800.jpg,4,0.0
139,162377.jpg,4,0.0
140,000025.jpg,5,0.0
141,003360.jpg,5,1.0
142,004163.jpg,5,2.0
143,005601.jpg,5,0.0
144,006636.jpg,5,1.0
145,010606.jpg,5,0.0
146,017020.jpg,5,2.0
147,022764.jpg,5,1.0
148,026701.jpg,5,0.0
149,029531.jpg,5,0.0
150,034390.jpg,5,2.0
151,037092.jpg,5,1.0
152,050663.jpg,5,2.0
153,054941.jpg,5,2.0
154,060178.jpg,5,1.0
155,069596.jpg,5,0.0
156,075087.jpg,5,0.0
157,087725.jpg,5,0.0
158,088242.jpg,5,0.0
159,092664.jpg,5,0.0
160,093091.jpg,5,0.0
161,096355.jpg,5,0.0
162,120881.jpg,5,0.0
163,122479.jpg,5,0.0
164,123837.jpg,5,0.0
165,140269.jpg,5,0.0
166,144374.jpg,5,0.0
167,149181.jpg,5,0.0
168,000038.jpg,6,2.0
169,000082.jpg,6,0.0
170,004213.jpg,6,2.0
171,006458.jpg,6,1.0
172,009169.jpg,6,1.0
173,016664.jpg,6,2.0
174,023617.jpg,6,0.0
175,024662.jpg,6,2.0
176,030967.jpg,6,1.0
177,032277.jpg,6,1.0
178,041403.jpg,6,1.0
179,052520.jpg,6,0.0
180,054621.jpg,6,0.0
181,056344.jpg,6,2.0
182,076227.jpg,6,0.0
183,089389.jpg,6,0.0
184,089441.jpg,6,0.0
185,090328.jpg,6,0.0
186,091232.jpg,6,0.0
187,101833.jpg,6,0.0
188,103127.jpg,6,0.0
189,105417.jpg,6,0.0
190,108140.jpg,6,0.0
191,120863.jpg,6,0.0
192,133084.jpg,6,0.0
193,137059.jpg,6,0.0
194,149081.jpg,6,0.0
195,151489.jpg,6,0.0
196,000051.jpg,7,1.0
197,001270.jpg,7,1.0
198,002341.jpg,7,2.0
199,004110.jpg,7,1.0
200,009699.jpg,7,2.0
201,013238.jpg,7,1.0
202,016223.jpg,7,1.0
203,017014.jpg,7,0.0
204,021535.jpg,7,2.0
205,034170.jpg,7,0.0
206,043340.jpg,7,0.0
207,049125.jpg,7,0.0
208,056928.jpg,7,0.0
209,068273.jpg,7,0.0
210,070709.jpg,7,2.0
211,072083.jpg,7,0.0
212,097517.jpg,7,2.0
213,104631.jpg,7,0.0
214,116717.jpg,7,0.0
215,117063.jpg,7,0.0
216,118651.jpg,7,0.0
217,126703.jpg,7,0.0
218,137105.jpg,7,0.0
219,137343.jpg,7,0.0
220,140990.jpg,7,0.0
221,146668.jpg,7,0.0
222,149713.jpg,7,0.0
223,152754.jpg,7,0.0
224,000056.jpg,8,2.0
225,021326.jpg,8,2.0
226,036538.jpg,8,1.0
227,043002.jpg,8,1.0
228,050171.jpg,8,1.0
229,064500.jpg,8,2.0
230,065556.jpg,8,2.0
231,073086.jpg,8,0.0
232,078696.jpg,8,2.0
233,084973.jpg,8,1.0
234,085015.jpg,8,0.0
235,091241.jpg,8,0.0
236,094619.jpg,8,0.0
237,094666.jpg,8,1.0
238,099019.jpg,8,0.0
239,112432.jpg,8,0.0
240,113723.jpg,8,0.0
241,113964.jpg,8,0.0
242,117194.jpg,8,0.0
243,121245.jpg,8,0.0
244,132249.jpg,8,0.0
245,132347.jpg,8,0.0
246,141746.jpg,8,0.0
247,144182.jpg,8,0.0
248,145014.jpg,8,0.0
249,145456.jpg,8,0.0
250,146198.jpg,8,0.0
251,147217.jpg,8,0.0
252,000065.jpg,9,2.0
253,009649.jpg,9,2.0
254,021879.jpg,9,0.0
255,030697.jpg,9,1.0
256,042104.jpg,9,0.0
257,043859.jpg,9,1.0
258,046326.jpg,9,0.0
259,047281.jpg,9,0.0
260,063278.jpg,9,0.0
261,066864.jpg,9,0.0
262,071752.jpg,9,1.0
263,075605.jpg,9,0.0
264,084233.jpg,9,1.0
265,090590.jpg,9,1.0
266,093947.jpg,9,0.0
267,103197.jpg,9,2.0
268,106137.jpg,9,2.0
269,108368.jpg,9,0.0
270,120852.jpg,9,0.0
271,121311.jpg,9,2.0
272,121496.jpg,9,0.0
273,125855.jpg,9,0.0
274,127507.jpg,9,0.0
275,127519.jpg,9,0.0
276,129995.jpg,9,0.0
277,133207.jpg,9,0.0
278,151691.jpg,9,0.0
279,152491.jpg,9,0.0
280,000088.jpg,10,0.0
281,018682.jpg,10,1.0
282,022175.jpg,10,0.0
283,038787.jpg,10,0.0
284,039359.jpg,10,0.0
285,040737.jpg,10,2.0
286,063364.jpg,10,0.0
287,068331.jpg,10,1.0
288,076595.jpg,10,2.0
289,079885.jpg,10,0.0
290,082287.jpg,10,2.0
291,087519.jpg,10,2.0
292,094324.jpg,10,1.0
293,095666.jpg,10,0.0
294,097305.jpg,10,0.0
295,100919.jpg,10,1.0
296,105902.jpg,10,0.0
297,108152.jpg,10,0.0
298,110268.jpg,10,1.0
299,114871.jpg,10,0.0
300,117152.jpg,10,2.0
301,126458.jpg,10,0.0
302,133728.jpg,10,0.0
303,144687.jpg,10,0.0
304,152831.jpg,10,0.0
305,155591.jpg,10,0.0
306,157169.jpg,10,0.0
307,160655.jpg,10,0.0
308,000097.jpg,11,2.0
309,007420.jpg,11,2.0
310,011872.jpg,11,2.0
311,013255.jpg,11,1.0
312,018085.jpg,11,2.0
313,019857.jpg,11,1.0
314,024411.jpg,11,2.0
315,042318.jpg,11,1.0
316,047855.jpg,11,0.0
317,053643.jpg,11,1.0
318,054785.jpg,11,0.0
319,059816.jpg,11,0.0
320,070952.jpg,11,0.0
321,072413.jpg,11,1.0
322,081598.jpg,11,0.0
323,083124.jpg,11,0.0
324,101154.jpg,11,0.0
325,110917.jpg,11,0.0
326,115588.jpg,11,0.0
327,127254.jpg,11,0.0
328,129633.jpg,11,0.0
329,133453.jpg,11,0.0
330,134050.jpg,11,0.0
331,140613.jpg,11,0.0
332,141228.jpg,11,0.0
333,141402.jpg,11,0.0
334,149037.jpg,11,0.0
335,149989.jpg,11,0.0
336,000104.jpg,12,0.0
337,000960.jpg,12,0.0
338,003715.jpg,12,1.0
339,013205.jpg,12,1.0
340,024065.jpg,12,0.0
341,027375.jpg,12,1.0
342,038752.jpg,12,1.0
343,042838.jpg,12,2.0
